Transaction_ID,Device,Location,Merchant,Amount,Payment_Mode,Transaction_Timestamp,Fraud
TXN47103649,iPhone,Delhi,Quikr,21766,UPI,2025-11-16 23:38:47,0
TXN45275098,Web,Kolkata,Tata Cliq,11185,Debit Card,2025-03-10 20:10:35,0
TXN84491524,Android,Delhi,Croma,9369,UPI,2025-10-15 13:22:57,0
TXN24211530,Web,Pune,Flipkart,4834,Credit Card,2025-01-24 10:40:51,0
TXN67317075,Web,Pune,Used Phone Store,8938,UPI,2025-09-15 06:34:01,0
TXN45655028,Web,Mumbai,Used Phone Store,24849,UPI,2025-12-23 17:17:26,0
TXN97197951,Android,Delhi,Tata Cliq,627,Debit Card,2025-11-22 21:32:03,0
TXN50728664,Web,Chennai,Tata Cliq,10982,Debit Card,2025-03-15 21:57:33,0
TXN23192859,Android,Chennai,AJIO,1441,UPI,2025-11-16 10:44:24,0
TXN21876483,Web,Pune,AJIO,9234,UPI,2025-01-12 17:31:26,0
TXN33632262,Android,Ahmedabad,GiftCardHub,49113,UPI,2025-07-17 19:08:49,1
TXN18226236,Android,Delhi,Nykaa,11436,UPI,2025-07-28 15:37:44,0
TXN89581183,iPhone,Chennai,Tata Cliq,11325,Wallet,2025-11-29 01:01:09,0
TXN25933511,iPhone,Delhi,BigBasket,11067,Debit Card,2025-08-24 11:25:18,0
TXN98998647,Web,Delhi,Local Seller,1539,UPI,2025-08-13 16:38:52,1
TXN97973539,Android,Kolkata,Nykaa,440,UPI,2025-04-22 14:41:19,0
TXN37462654,Web,Bengaluru,Swiggy,6195,Credit Card,2025-08-11 21:05:39,0
TXN82298231,iPhone,Mumbai,Forex Exchange,2043,Credit Card,2025-06-14 01:23:36,0
TXN60429031,iPhone,Kolkata,Flipkart,1858,Debit Card,2025-01-20 11:12:42,0
TXN91259789,Web,Chennai,LuckyReward,63131,UPI,2025-11-10 14:03:06,1
TXN43961699,Web,Ahmedabad,AnonymousSeller,60514,UPI,2025-12-13 14:40:26,0
TXN77861150,iPhone,Pune,Myntra,3904,UPI,2025-03-14 14:01:21,0
TXN19005317,Android,Delhi,Myntra,11826,Debit Card,2025-02-21 13:53:34,0
TXN32152742,Android,Delhi,Forex Exchange,12195,UPI,2025-02-23 02:39:28,0
TXN67528903,iPhone,Delhi,Croma,3152,UPI,2025-03-22 00:01:38,0
TXN18203712,Web,Pune,Amazon,839,UPI,2025-02-07 05:33:55,0
TXN93203749,Web,Mumbai,Tata Cliq,10758,UPI,2025-12-10 05:23:56,0
TXN84576770,Android,Kolkata,Nykaa,7296,Debit Card,2025-11-21 02:55:37,0
TXN22240617,iPhone,Chennai,OLX,16441,UPI,2025-08-22 19:20:35,0
TXN88608806,Web,Pune,Gaming Recharge,17325,UPI,2025-07-06 02:50:40,0
TXN88656818,Web,Ahmedabad,AnonymousSeller,72281,Credit Card,2025-03-22 09:07:17,1
TXN38726870,Android,Bengaluru,Used Phone Store,19440,UPI,2025-05-06 18:09:46,0
TXN53995793,Web,Ahmedabad,Myntra,1786,UPI,2025-02-07 11:01:35,0
TXN31145515,Android,Kolkata,Croma,1484,UPI,2025-12-07 07:01:14,0
TXN47945629,iPhone,Delhi,BookMyShow,2074,UPI,2025-05-13 20:51:30,0
TXN12563773,Web,Ahmedabad,BookMyShow,5960,UPI,2025-07-27 00:41:31,0
TXN28256400,Android,Hyderabad,Gaming Recharge,29724,UPI,2025-03-30 06:58:06,0
TXN27297873,Web,Kolkata,Quikr,24545,UPI,2025-08-28 09:02:18,0
TXN40621834,Web,Mumbai,Swiggy,9924,Credit Card,2025-01-25 11:06:29,0
TXN25702665,Android,Chennai,BigBasket,7235,Debit Card,2025-12-15 11:27:58,0
TXN35923864,iPhone,Kolkata,Nykaa,7636,UPI,2025-02-26 14:26:43,0
TXN47463289,Android,Kolkata,BigBasket,385,Debit Card,2025-07-06 20:17:53,0
TXN56651042,Android,Kolkata,BookMyShow,1920,UPI,2025-12-05 13:27:11,0
TXN69974016,Android,Chennai,BigBasket,3118,UPI,2025-12-24 19:11:08,0
TXN29439484,iPhone,Mumbai,IRCTC,1510,UPI,2025-07-20 02:18:10,0
TXN15816597,iPhone,Chennai,AJIO,3994,Credit Card,2025-10-08 23:02:12,0
TXN81093749,Android,Delhi,Zomato,6502,UPI,2025-07-08 01:21:30,0
TXN43973403,iPhone,Delhi,Reliance Digital,4169,UPI,2025-10-26 01:53:50,0
TXN29868456,iPhone,Hyderabad,AJIO,10600,UPI,2025-04-02 05:36:56,0
TXN94222645,Web,Chennai,Forex Exchange,9645,Credit Card,2025-04-05 15:15:28,0
TXN59724440,Android,Ahmedabad,Flipkart,2789,Wallet,2025-02-13 02:55:42,0
TXN63063812,Web,Mumbai,Local Electronics,17775,UPI,2025-10-11 21:29:12,0
TXN66336468,iPhone,Pune,Blinkit,11644,UPI,2025-03-23 09:12:43,0
TXN92155822,iPhone,Hyderabad,OLX,5222,Credit Card,2025-05-04 04:40:00,0
TXN11482580,Android,Bengaluru,Reliance Digital,8815,UPI,2025-12-21 04:13:27,0
TXN61953392,Web,Delhi,Local Electronics,15999,UPI,2025-05-03 09:17:17,0
TXN76182547,iPhone,Mumbai,Myntra,7209,UPI,2025-04-10 23:25:28,0
TXN52280006,Android,Kolkata,Local Electronics,19943,UPI,2025-06-27 06:26:12,0
TXN69111871,Android,Delhi,Zomato,3814,UPI,2025-12-07 02:31:30,0
TXN61853539,Web,Mumbai,Local Electronics,7083,Wallet,2025-09-15 00:25:39,0
TXN44353027,iPhone,Kolkata,Nykaa,2956,Wallet,2025-01-26 18:40:16,0
TXN36855005,Web,Pune,Blinkit,4949,Debit Card,2025-05-09 15:57:40,0
TXN50511648,Android,Delhi,Nykaa,7421,UPI,2025-07-07 19:54:23,0
TXN23215334,iPhone,Chennai,Quikr,12966,UPI,2025-01-23 15:00:41,0
TXN32476174,Android,Mumbai,Amazon,6616,UPI,2025-10-23 07:13:27,0
TXN30585855,iPhone,Hyderabad,IRCTC,1163,UPI,2025-09-10 06:42:02,0
TXN53366198,Web,Ahmedabad,Reliance Digital,3897,UPI,2025-07-08 00:16:56,0
TXN94561756,iPhone,Kolkata,Forex Exchange,18921,Debit Card,2025-10-14 16:21:11,1
TXN32258548,Android,Chennai,InstantCrypto,31634,Debit Card,2025-12-27 07:04:21,0
TXN17974629,iPhone,Kolkata,Forex Exchange,363,UPI,2025-10-04 12:38:57,0
TXN30189747,iPhone,Pune,Myntra,2233,UPI,2025-07-03 02:45:16,0
TXN26842524,iPhone,Bengaluru,Blinkit,6120,UPI,2025-06-11 19:48:17,0
TXN87672493,Web,Kolkata,Myntra,4835,UPI,2025-05-29 23:10:06,0
TXN51704200,Web,Bengaluru,Zomato,3255,Credit Card,2025-05-16 05:22:22,0
TXN42948787,iPhone,Pune,Croma,5051,UPI,2025-02-13 07:06:44,0
TXN66084896,iPhone,Delhi,AJIO,2702,UPI,2025-02-11 11:51:38,0
TXN92463299,Web,Bengaluru,BigBasket,11148,UPI,2025-12-30 05:58:33,0
TXN19390935,iPhone,Ahmedabad,Tata Cliq,9245,UPI,2025-04-07 12:55:21,0
TXN99431443,Web,Kolkata,Amazon,6708,Credit Card,2025-04-30 12:04:42,0
TXN96953586,Web,Bengaluru,Gift Card Store,23733,UPI,2025-09-18 16:24:21,0
TXN83781069,Android,Ahmedabad,Nykaa,1709,UPI,2025-02-28 01:08:11,0
TXN55626820,Android,Hyderabad,Swiggy,8970,Debit Card,2025-09-19 04:37:52,0
TXN79789571,Android,Chennai,Amazon,10371,UPI,2025-04-18 17:19:00,0
TXN85101760,iPhone,Ahmedabad,Myntra,3754,UPI,2025-03-30 16:43:09,0
TXN72221602,iPhone,Chennai,FastCash,53463,Debit Card,2025-02-25 04:48:57,1
TXN88650339,Web,Delhi,Swiggy,8300,Credit Card,2025-12-22 04:54:22,0
TXN81202290,iPhone,Kolkata,Used Phone Store,13693,Debit Card,2025-12-03 00:46:40,0
TXN82174147,Android,Delhi,AJIO,11409,Credit Card,2025-06-21 19:25:47,0
TXN33750975,Android,Mumbai,JioMart,6365,UPI,2025-06-17 12:41:01,0
TXN91287679,Android,Ahmedabad,Croma,1556,Wallet,2025-08-17 22:21:34,0
TXN11554928,Web,Hyderabad,GiftCardHub,34960,UPI,2025-04-26 00:51:27,1
TXN27717781,Web,Ahmedabad,AnonymousSeller,52306,UPI,2025-12-02 14:05:48,1
TXN97121529,Android,Bengaluru,Zomato,713,Debit Card,2025-11-15 16:32:50,0
TXN53601137,iPhone,Chennai,Quikr,11925,Wallet,2025-06-27 08:21:25,1
TXN39194918,Android,Pune,Blinkit,11181,Credit Card,2025-10-05 08:59:30,0
TXN59285927,iPhone,Kolkata,Gift Card Store,21482,UPI,2025-08-03 23:02:44,0
TXN98911585,Android,Delhi,LuckyReward,37849,UPI,2025-08-22 14:28:30,1
TXN18893681,Web,Bengaluru,Blinkit,11385,UPI,2025-10-02 22:47:40,0
TXN33110033,Android,Hyderabad,CryptoX,50007,UPI,2025-03-30 14:23:04,0
TXN64679960,Android,Pune,Swiggy,8753,Credit Card,2025-10-01 02:14:09,0
TXN99736210,iPhone,Kolkata,Forex Exchange,11921,Wallet,2025-06-20 01:34:42,1
TXN53662715,iPhone,Chennai,InstantCrypto,60909,Debit Card,2025-03-24 02:54:17,1
TXN45915697,Web,Ahmedabad,Tata Cliq,2185,UPI,2025-09-16 16:24:21,0
TXN70308318,Android,Hyderabad,JioMart,3520,Wallet,2025-02-07 08:15:38,0
TXN87098440,Android,Kolkata,Quikr,24310,Wallet,2025-11-13 01:43:25,0
TXN94800419,iPhone,Kolkata,Swiggy,1841,Wallet,2025-07-01 04:29:05,0
TXN45469243,Android,Delhi,Gaming Recharge,10313,Debit Card,2025-01-10 17:08:08,0
TXN42060554,iPhone,Delhi,FastCash,38731,UPI,2025-08-14 06:07:22,1
TXN78599338,iPhone,Mumbai,Blinkit,9942,Debit Card,2025-09-24 19:27:38,0
TXN77830965,iPhone,Kolkata,Myntra,11209,UPI,2025-11-08 23:51:19,0
TXN72593734,Web,Pune,Zomato,6417,UPI,2025-05-20 09:26:07,0
TXN25890690,Web,Pune,Nykaa,3390,Wallet,2025-11-10 00:57:46,0
TXN70298218,Web,Pune,Myntra,10046,UPI,2025-02-04 21:12:31,0
TXN41006237,iPhone,Mumbai,BookMyShow,1855,UPI,2025-01-29 13:14:11,0
TXN38001031,Web,Chennai,Gift Card Store,22322,UPI,2025-01-13 10:45:14,0
TXN47911335,Android,Bengaluru,Nykaa,7014,UPI,2025-02-21 11:32:00,0
TXN50017606,Web,Hyderabad,Amazon,7705,Debit Card,2025-09-21 15:04:16,0
TXN78959947,iPhone,Hyderabad,BigBasket,9987,Debit Card,2025-12-30 21:25:46,0
TXN48698359,Web,Hyderabad,Nykaa,9739,UPI,2025-08-26 19:47:30,0
TXN36573137,Web,Pune,Tata Cliq,7268,Debit Card,2025-03-18 15:11:40,0
TXN84755711,Android,Mumbai,Quikr,6580,UPI,2025-09-06 00:35:24,1
TXN11467491,Android,Delhi,Swiggy,2878,Credit Card,2025-06-10 07:07:23,0
TXN68584675,Android,Ahmedabad,JioMart,9261,UPI,2025-08-29 10:14:33,0
TXN87259754,iPhone,Bengaluru,Flipkart,252,Credit Card,2025-11-20 12:17:02,0
TXN70518293,iPhone,Pune,Croma,8804,UPI,2025-12-01 10:18:26,0
TXN39679004,Android,Ahmedabad,BigBasket,4623,UPI,2025-03-03 09:47:15,0
TXN70845751,Android,Bengaluru,Gift Card Store,17768,Credit Card,2025-07-27 14:17:01,0
TXN28435043,Web,Hyderabad,Blinkit,6777,UPI,2025-07-10 15:31:04,0
TXN57474178,Android,Bengaluru,Blinkit,7013,Wallet,2025-09-15 06:00:29,0
TXN65192591,Web,Ahmedabad,Amazon,11645,Wallet,2025-09-10 03:55:40,0
TXN31678980,Android,Delhi,Zomato,7319,Debit Card,2025-12-03 09:21:24,0
TXN55853139,Android,Ahmedabad,JioMart,1869,UPI,2025-11-19 17:41:19,0
TXN71236119,Android,Kolkata,Amazon,1249,Wallet,2025-09-18 01:29:17,0
TXN98039758,iPhone,Chennai,Zomato,10565,Debit Card,2025-07-31 13:48:15,0
TXN10042555,iPhone,Hyderabad,CryptoX,10597,UPI,2025-02-21 20:33:45,1
TXN85360133,Web,Pune,Swiggy,5706,Credit Card,2025-05-20 06:50:13,0
TXN40226378,Android,Delhi,Nykaa,1765,UPI,2025-08-23 14:22:09,0
TXN53043554,Web,Kolkata,Quikr,2401,UPI,2025-04-05 05:45:46,0
TXN15857156,Web,Mumbai,AJIO,2625,Credit Card,2025-11-26 00:44:09,0
TXN70227832,Android,Mumbai,Myntra,2635,UPI,2025-01-20 01:19:56,0
TXN45011773,Web,Delhi,AnonymousSeller,59295,Credit Card,2025-04-08 04:51:56,1
TXN69536593,iPhone,Kolkata,AJIO,10343,UPI,2025-04-02 13:37:19,0
TXN95447448,iPhone,Kolkata,Zomato,2784,UPI,2025-05-21 04:31:17,0
TXN32626866,iPhone,Kolkata,Local Seller,16055,UPI,2025-04-27 08:48:51,0
TXN80371304,Web,Bengaluru,Nykaa,10629,UPI,2025-10-15 17:18:26,0
TXN93219685,Android,Chennai,Used Phone Store,10929,Credit Card,2025-05-20 08:33:07,0
TXN90497608,iPhone,Pune,Croma,5637,UPI,2025-10-03 11:28:03,0
TXN98667873,iPhone,Pune,Gaming Recharge,13978,Debit Card,2025-12-31 13:24:04,0
TXN21769358,Web,Hyderabad,BonusWallet,18024,UPI,2025-03-07 11:53:15,1
TXN81547829,Web,Pune,Reliance Digital,9253,Debit Card,2025-12-10 23:43:54,0
TXN63186466,Web,Chennai,IRCTC,9277,Wallet,2025-05-06 01:46:51,0
TXN77978070,Web,Hyderabad,Nykaa,9302,Credit Card,2025-05-07 23:00:58,0
TXN52112486,Web,Chennai,Local Seller,28366,UPI,2025-11-21 16:17:25,0
TXN85453967,Web,Hyderabad,Tata Cliq,1667,UPI,2025-04-13 11:31:28,0
TXN24982546,Web,Chennai,Amazon,11845,UPI,2025-09-30 21:19:19,0
TXN79662823,Web,Kolkata,Tata Cliq,4854,UPI,2025-01-27 06:13:34,0
TXN89683139,iPhone,Pune,Nykaa,2348,Debit Card,2025-01-23 19:54:00,0
TXN62410799,Web,Bengaluru,BigBasket,5713,Debit Card,2025-03-14 16:39:29,0
TXN27502538,Android,Pune,Reliance Digital,4838,Credit Card,2025-07-13 16:52:57,0
TXN65721590,Web,Ahmedabad,AJIO,10955,Debit Card,2025-03-23 23:41:38,0
TXN94272550,Android,Delhi,Nykaa,1616,Debit Card,2025-06-26 06:24:01,0
TXN52965364,iPhone,Chennai,Forex Exchange,310,UPI,2025-06-18 00:43:21,0
TXN72318857,Web,Mumbai,Used Phone Store,11043,Wallet,2025-03-30 08:20:20,0
TXN70318529,Android,Bengaluru,BigBasket,9084,UPI,2025-06-18 10:38:19,0
TXN29288560,iPhone,Delhi,QuickPay247,71605,Debit Card,2025-07-10 03:34:01,0
TXN98475690,Web,Kolkata,Local Seller,20406,Credit Card,2025-06-05 20:30:31,0
TXN98331017,Android,Bengaluru,Myntra,3279,Debit Card,2025-04-11 03:44:20,0
TXN97962820,iPhone,Bengaluru,Flipkart,7065,UPI,2025-03-02 18:30:41,0
TXN14242317,Android,Mumbai,Myntra,3025,UPI,2025-04-18 00:20:01,0
TXN85512508,Android,Ahmedabad,Quikr,9841,Debit Card,2025-08-12 00:30:27,0
TXN20145239,Android,Ahmedabad,Forex Exchange,13580,Debit Card,2025-07-02 02:46:21,0
TXN46990858,Web,Mumbai,Nykaa,11166,UPI,2025-09-12 05:19:25,0
TXN78965244,Android,Mumbai,BookMyShow,11810,UPI,2025-12-23 15:34:44,0
TXN10468810,Android,Ahmedabad,Flipkart,323,Wallet,2025-01-14 15:14:48,0
TXN52618636,Android,Delhi,Swiggy,4483,Debit Card,2025-04-25 04:10:08,0
TXN49443503,iPhone,Bengaluru,Local Seller,19326,UPI,2025-10-30 15:58:01,0
TXN28128238,Web,Chennai,Reliance Digital,1577,Credit Card,2025-05-02 21:19:01,0
TXN24124917,Android,Mumbai,BonusWallet,18360,UPI,2025-10-07 21:59:31,0
TXN65524729,Android,Hyderabad,Local Seller,16927,UPI,2025-10-21 18:01:08,0
TXN39594630,Android,Bengaluru,AnonymousSeller,61896,UPI,2025-09-08 06:51:29,1
TXN27749096,iPhone,Ahmedabad,GiftCardHub,45157,UPI,2025-08-31 07:00:27,1
TXN47953911,Android,Chennai,Myntra,6529,Debit Card,2025-12-05 19:26:46,0
TXN69994095,Android,Hyderabad,BookMyShow,3120,UPI,2025-04-07 14:16:26,0
TXN85197068,Web,Delhi,Myntra,4013,Credit Card,2025-09-25 18:21:57,0
TXN96906837,iPhone,Pune,AnonymousSeller,33777,Credit Card,2025-04-25 17:23:34,1
TXN60818828,Android,Mumbai,Tata Cliq,1772,UPI,2025-03-05 08:05:21,0
TXN74618963,iPhone,Mumbai,Swiggy,1528,UPI,2025-08-03 17:09:07,0
TXN97961870,Web,Hyderabad,Blinkit,487,UPI,2025-11-01 20:39:16,0
TXN97813387,Web,Hyderabad,BigBasket,10381,Credit Card,2025-03-30 22:20:02,0
TXN99069989,Android,Mumbai,CryptoX,2520,Debit Card,2025-07-16 12:10:34,0
TXN29940559,iPhone,Mumbai,IRCTC,11563,UPI,2025-06-16 07:45:42,0
TXN94788528,Web,Ahmedabad,Zomato,6587,Credit Card,2025-07-05 08:02:37,0
TXN10635657,Web,Hyderabad,OLX,19224,UPI,2025-12-03 01:55:30,0
TXN19431935,Android,Delhi,Blinkit,5286,Wallet,2025-04-30 19:19:05,0
TXN34843884,Web,Kolkata,BookMyShow,4001,UPI,2025-08-06 06:50:38,1
TXN57963923,Web,Kolkata,Swiggy,8861,UPI,2025-11-24 13:59:17,0
TXN52544356,Android,Delhi,Myntra,9046,Debit Card,2025-09-03 14:33:20,0
TXN99035439,iPhone,Delhi,Reliance Digital,3108,Credit Card,2025-09-18 22:33:19,0
TXN44482101,Android,Kolkata,OLX,21941,UPI,2025-11-24 09:07:59,0
TXN46961776,iPhone,Mumbai,IRCTC,8834,UPI,2025-12-27 14:06:17,0
TXN86028033,iPhone,Hyderabad,Swiggy,1620,Credit Card,2025-12-18 00:39:05,0
TXN12862874,iPhone,Bengaluru,Used Phone Store,16773,UPI,2025-11-07 17:51:14,0
TXN77689108,Android,Hyderabad,Local Electronics,23063,UPI,2025-09-13 23:53:32,0
TXN93869250,Web,Bengaluru,Tata Cliq,11076,UPI,2025-12-18 03:46:46,0
TXN86048951,Web,Bengaluru,Flipkart,4959,Credit Card,2025-07-02 08:18:35,0
TXN39900423,Android,Chennai,UnknownShop,55938,Debit Card,2025-11-16 07:13:57,1
TXN43007749,Android,Mumbai,BigBasket,4845,UPI,2025-10-04 01:53:41,0
TXN11525817,iPhone,Bengaluru,BigBasket,5741,Credit Card,2025-01-13 07:09:44,0
TXN78051961,Android,Mumbai,Nykaa,7148,Credit Card,2025-02-11 09:20:53,0
TXN63579061,Android,Mumbai,CashTransferPro,42763,UPI,2025-10-03 09:08:29,1
TXN43687196,Web,Delhi,JioMart,5253,UPI,2025-09-27 20:38:31,0
TXN94094699,Android,Bengaluru,Tata Cliq,7743,UPI,2025-07-15 04:27:21,0
TXN96364358,Android,Kolkata,Myntra,6096,UPI,2025-03-30 09:40:42,0
TXN44743895,Android,Mumbai,BigBasket,3259,Credit Card,2025-08-06 01:45:11,0
TXN35377637,iPhone,Chennai,Forex Exchange,1227,UPI,2025-05-14 03:25:24,0
TXN94323643,Android,Chennai,Myntra,7481,Wallet,2025-09-02 21:02:20,0
TXN39057203,Android,Bengaluru,Nykaa,412,Debit Card,2025-08-28 23:28:33,0
TXN10823850,Web,Hyderabad,JioMart,11022,Debit Card,2025-02-11 14:59:07,0
